-1.0 	 0.5012 	 0.665 	 -3.959 	 -3.294
-1.0 	 0.5012 	 16.424 	 -0.586 	 15.839
-1.0 	 0.5012 	 0.633 	 1.288 	 1.921
-1.0 	 0.5012 	 0.909 	 -3.094 	 -2.186
-1.0 	 0.5012 	 3.083 	 0.639 	 3.722
-1.0 	 0.5012 	 1.761 	 -3.667 	 -1.906
-1.0 	 0.5012 	 2.406 	 -5.369 	 -2.963
-1.0 	 0.5012 	 0.693 	 -1.744 	 -1.051
-1.0 	 0.5012 	 0.486 	 -2.599 	 -2.113
-1.0 	 0.5012 	 1.186 	 1.279 	 2.465
-1.0 	 0.5012 	 0.668 	 -2.951 	 -2.283
-1.0 	 0.5012 	 0.752 	 -3.51 	 -2.758
-1.0 	 0.5012 	 0.637 	 -3.102 	 -2.465
-1.0 	 0.5012 	 0.506 	 -2.84 	 -2.334
-1.0 	 0.5012 	 0.934 	 -0.082 	 0.852
-1.0 	 0.5012 	 0.737 	 -0.44 	 0.297
-1.0 	 0.5012 	 0.73 	 -3.907 	 -3.177
-1.0 	 0.5012 	 0.839 	 -4.247 	 -3.408
-1.0 	 0.5012 	 0.819 	 -4.42 	 -3.602
-1.0 	 0.5012 	 0.628 	 -1.575 	 -0.947
-1.0 	 0.5012 	 0.582 	 -2.131 	 -1.549
-1.0 	 0.5012 	 0.509 	 -2.032 	 -1.523
-1.0 	 0.5012 	 0.496 	 -2.247 	 -1.752
-1.0 	 0.5012 	 0.542 	 -2.064 	 -1.522
-1.0 	 0.5012 	 0.77 	 -0.368 	 0.403
-1.0 	 0.5012 	 0.619 	 -1.496 	 -0.877
-1.0 	 0.5012 	 0.547 	 -2.366 	 -1.819
-1.0 	 0.5012 	 0.615 	 -3.366 	 -2.751
-1.0 	 0.5012 	 0.58 	 -3.313 	 -2.733
-1.0 	 0.5012 	 0.576 	 -3.025 	 -2.449
-1.0 	 0.5012 	 0.591 	 -2.557 	 -1.967
-1.0 	 0.5012 	 0.583 	 0.337 	 0.92
-1.0 	 0.5012 	 0.519 	 -2.273 	 -1.754
-1.0 	 0.5012 	 0.585 	 0.673 	 1.258
-1.0 	 0.5012 	 0.493 	 -2.091 	 -1.598
-1.0 	 0.5012 	 0.458 	 -1.649 	 -1.191
-1.0 	 0.5012 	 0.493 	 -1.787 	 -1.294
-1.0 	 0.5013 	 0.391 	 -1.498 	 -1.107
-1.0 	 0.5013 	 1.226 	 12.675 	 13.901
-1.0 	 0.5013 	 0.55 	 -2.482 	 -1.931
-1.0 	 0.5013 	 0.724 	 -3.695 	 -2.971
-1.0 	 0.5013 	 0.647 	 -4.797 	 -4.15
-1.0 	 0.5013 	 0.641 	 -3.665 	 -3.025
-1.0 	 0.5013 	 0.685 	 -3.833 	 -3.148
-1.0 	 0.5013 	 0.588 	 -2.767 	 -2.179
-1.0 	 0.5013 	 0.584 	 -1.059 	 -0.475
-1.0 	 0.5013 	 0.544 	 -2.836 	 -2.292
-1.0 	 0.5013 	 0.499 	 -2.174 	 -1.675
-1.0 	 0.5013 	 0.49 	 -1.269 	 -0.778
-1.0 	 0.5013 	 0.726 	 5.672 	 6.398
-1.0 	 0.5013 	 0.587 	 -0.276 	 0.311
-1.0 	 0.5013 	 0.435 	 -2.545 	 -2.109
-1.0 	 0.5013 	 0.536 	 -2.508 	 -1.973
-1.0 	 0.5013 	 0.599 	 0.644 	 1.243
-1.0 	 0.5013 	 0.598 	 -2.956 	 -2.358
-1.0 	 0.5013 	 0.475 	 -0.876 	 -0.401
-1.0 	 0.5013 	 0.556 	 1.835 	 2.391
-1.0 	 0.5013 	 0.855 	 9.373 	 10.228
-1.0 	 0.5013 	 0.473 	 -2.284 	 -1.811
-1.0 	 0.5013 	 0.525 	 -1.198 	 -0.673
-1.0 	 0.5013 	 0.629 	 -3.723 	 -3.093
-1.0 	 0.5013 	 0.509 	 -3.939 	 -3.43
-1.0 	 0.5013 	 0.665 	 -4.048 	 -3.382
-1.0 	 0.5013 	 0.591 	 -3.956 	 -3.364
-1.0 	 0.5013 	 0.424 	 -2.448 	 -2.024
-1.0 	 0.5013 	 0.558 	 3.011 	 3.569
-1.0 	 0.5013 	 0.544 	 2.254 	 2.798
-1.0 	 0.5013 	 0.449 	 -0.305 	 0.144
-1.0 	 0.5013 	 0.534 	 3.353 	 3.887
-1.0 	 0.5013 	 0.482 	 -0.726 	 -0.244
-1.0 	 0.5013 	 0.373 	 -1.984 	 -1.611
-1.0 	 0.5013 	 0.473 	 0.954 	 1.427
-1.0 	 0.5013 	 0.856 	 0.658 	 1.514
-1.0 	 0.5013 	 0.505 	 -2.936 	 -2.431
-1.0 	 0.5013 	 0.516 	 -2.469 	 -1.953
-1.0 	 0.5013 	 0.297 	 -2.199 	 -1.902
-1.0 	 0.5013 	 0.309 	 -2.166 	 -1.857
-1.0 	 0.5013 	 0.833 	 3.61 	 4.443
-1.0 	 0.5013 	 0.283 	 1.832 	 2.115
-1.0 	 0.5013 	 0.414 	 5.592 	 6.006
-1.0 	 0.5013 	 0.595 	 5.357 	 5.952
-1.0 	 0.5013 	 0.494 	 -2.674 	 -2.181
-1.0 	 0.5013 	 0.69 	 -3.556 	 -2.865
-1.0 	 0.5013 	 0.575 	 5.309 	 5.884
-1.0 	 0.5013 	 0.573 	 -3.496 	 -2.923
-1.0 	 0.5013 	 0.478 	 -2.09 	 -1.612
-1.0 	 0.5013 	 0.378 	 -3.051 	 -2.672
-1.0 	 0.5013 	 0.571 	 -3.01 	 -2.439
-1.0 	 0.5013 	 0.242 	 -2.038 	 -1.796
-1.0 	 0.5013 	 0.636 	 2.753 	 3.389
-1.0 	 0.5013 	 0.253 	 -1.877 	 -1.624
-1.0 	 0.5013 	 0.808 	 0.092 	 0.9
-1.0 	 0.5013 	 0.565 	 -0.509 	 0.055
-1.0 	 0.5013 	 0.492 	 3.095 	 3.587
-1.0 	 0.5013 	 0.346 	 -2.055 	 -1.709
-1.0 	 0.5013 	 0.174 	 -2.105 	 -1.931
-1.0 	 0.5013 	 0.436 	 -1.779 	 -1.343
-1.0 	 0.5013 	 0.24 	 -1.013 	 -0.773
-1.0 	 0.5013 	 0.523 	 9.1 	 9.622
-1.0 	 0.5013 	 0.185 	 0.294 	 0.48
-1.0 	 0.5013 	 0.161 	 -1.515 	 -1.355
-1.0 	 0.5013 	 0.186 	 0.147 	 0.333
-1.0 	 0.5013 	 0.593 	 2.131 	 2.724
-1.0 	 0.5013 	 0.465 	 1.821 	 2.286
-1.0 	 0.5013 	 0.46 	 1.619 	 2.079
-1.0 	 0.5013 	 0.368 	 4.792 	 5.161
-1.0 	 0.5013 	 0.818 	 -3.087 	 -2.269
-1.0 	 0.5013 	 0.633 	 -2.232 	 -1.599
-1.0 	 0.5013 	 0.597 	 -0.94 	 -0.343
-1.0 	 0.5013 	 0.513 	 -1.627 	 -1.114
-1.0 	 0.5013 	 0.639 	 -1.052 	 -0.413
-1.0 	 0.5013 	 0.551 	 2.335 	 2.886
-1.0 	 0.5013 	 0.541 	 -4.373 	 -3.833
-1.0 	 0.5013 	 0.403 	 -3.664 	 -3.261
-1.0 	 0.5013 	 0.301 	 -0.19 	 0.111
